"search-number","evaluation","technology-diffusion-method*","word-of-mouth?*","technology-adoption*","technology-awareness*","debug?*","deliberation_rate*","innovation*","leader_w_social*","main_w_social*","hed_w_social*","policy*","fitness","num-replicates","best-fitness-so-far"
"1","5","""schwarz_alternative""","true","0","5","false","0.02319598938463233","""showerhead""","0.7947450034384245","0.5950255244615676","0.25691935208597216","""off""","29.58","5","29.58"
"1","10","""schwarz_alternative""","true","0","5","false","0.02319598938463233","""showerhead""","0.8634165113586741","0.5950255244615676","0.25691935208597216","""off""","29.58","5","29.58"
"1","15","""schwarz_alternative""","true","0","5","false","0.02319598938463233","""showerhead""","0.8634165113586741","0.6793163457172735","0.25691935208597216","""off""","29.58","5","29.58"
"1","20","""schwarz_alternative""","true","0","5","false","0.02319598938463233","""showerhead""","0.8634165113586741","0.6793163457172735","0.3452269262224251","""off""","29.58","5","29.58"
"1","25","""schwarz_alternative""","true","0","5","false","0.01882085636590475","""showerhead""","1","0.6793163457172735","0.3452269262224251","""off""","29.58","5","29.58"
"1","30","""schwarz_alternative""","true","0","5","false","0.022139136485540646","""showerhead""","1","0.5923542551122931","0.3452269262224251","""off""","29.58","5","29.58"
"1","35","""schwarz_alternative""","true","0","5","false","0.022139136485540646","""showerhead""","1","0.5923542551122931","0.361382076160343","""off""","29.58","5","29.58"
"1","40","""schwarz_alternative""","true","0","5","false","0.022139136485540646","""showerhead""","1","0.5923542551122931","0.4938255744623092","""off""","29.58","5","29.58"
"1","45","""schwarz_alternative""","true","0","5","false","0.022961981185733164","""showerhead""","1","0.5923542551122931","0.4938255744623092","""off""","29.58","5","29.58"
"1","50","""schwarz_alternative""","true","0","5","false","0.02534927202402043","""showerhead""","1","0.5923542551122931","0.4938255744623092","""off""","29.58","5","29.58"
"1","55","""schwarz_alternative""","true","0","5","false","0.025060381196745495","""showerhead""","1","0.5923542551122931","0.4938255744623092","""off""","29.58","5","29.58"
"1","60","""schwarz_alternative""","true","0","5","false","0.028144134961303666","""showerhead""","1","0.5923542551122931","0.4938255744623092","""off""","29.58","5","29.58"
"1","65","""schwarz_alternative""","true","0","5","false","0.028144134961303666","""showerhead""","1","0.5923542551122931","0.5266727179260142","""off""","29.58","5","29.58"
"1","70","""schwarz_alternative""","true","0","5","false","0.028144134961303666","""showerhead""","1","0.6100990876618745","0.5266727179260142","""off""","29.58","5","29.58"
"1","75","""schwarz_alternative""","true","0","5","false","0.028144134961303666","""showerhead""","1","0.5594205536561948","0.5266727179260142","""off""","29.58","5","29.58"
"1","80","""schwarz_alternative""","true","0","5","false","0.028144134961303666","""showerhead""","1","0.5594205536561948","0.6329330844876733","""off""","29.58","5","29.58"
"1","85","""schwarz_alternative""","true","0","5","false","0.028144134961303666","""showerhead""","1","0.5090020924588202","0.6329330844876733","""off""","29.58","5","29.58"
"1","90","""schwarz_alternative""","true","0","5","false","0.028144134961303666","""showerhead""","1","0.5090020924588202","0.41155869451383287","""off""","29.58","5","29.58"
"1","95","""schwarz_alternative""","true","0","5","false","0.028144134961303666","""showerhead""","0.7315305665862115","0.5090020924588202","0.41155869451383287","""off""","29.58","5","29.58"
"1","100","""schwarz_alternative""","true","0","5","false","0.03340488949211014","""showerhead""","0.7315305665862115","0.5090020924588202","0.41155869451383287","""off""","29.58","5","29.58"
"1","105","""schwarz_alternative""","true","0","5","false","0.03340488949211014","""showerhead""","0.7315305665862115","0.5090020924588202","0.3431119708350646","""off""","29.58","5","29.58"
"1","110","""schwarz_alternative""","true","0","5","false","0.03340488949211014","""showerhead""","0.9095011388098697","0.5090020924588202","0.3431119708350646","""off""","29.58","5","29.58"
