"search-number","evaluation","technology-diffusion-method*","word-of-mouth?*","technology-adoption*","technology-awareness*","debug?*","deliberation_rate*","innovation*","leader_w_social*","main_w_social*","hed_w_social*","policy*","fitness","num-replicates","best-fitness-so-far"
"1","5","""schwarz_alternative""","false","0","5","false","0.016279278990329576","""showerhead""","0.4702315029013524","0.3411507804911118","0.2837019759676266","""off""","29.58","5","29.58"
"1","10","""schwarz_alternative""","false","0","5","false","0.016279278990329576","""showerhead""","0.4702315029013524","0.29458816926584164","0.2837019759676266","""off""","29.58","5","29.58"
"1","15","""schwarz_alternative""","false","0","5","false","0.016279278990329576","""showerhead""","0.2946727752772713","0.29458816926584164","0.2837019759676266","""off""","29.58","5","29.58"
"1","20","""schwarz_alternative""","false","0","5","false","0.016279278990329576","""showerhead""","0.2946727752772713","0.4186523934968884","0.2837019759676266","""off""","29.58","5","29.58"
"1","25","""schwarz_alternative""","false","0","5","false","0.016279278990329576","""showerhead""","0.2946727752772713","0.4186523934968884","0.27336261613784707","""off""","29.58","5","29.58"
"1","30","""schwarz_alternative""","false","0","5","false","0.013859483277312552","""showerhead""","0.2946727752772713","0.4186523934968884","0.27336261613784707","""off""","29.58","5","29.58"
"1","35","""schwarz_alternative""","false","0","5","false","0.013859483277312552","""showerhead""","0.08433261116141513","0.4186523934968884","0.27336261613784707","""off""","1049.42","5","29.58"
"1","40","""schwarz_alternative""","false","0","5","false","0.013859483277312552","""showerhead""","0.2946727752772713","0.4186523934968884","0.24796644796676406","""off""","29.58","5","29.58"
"1","45","""schwarz_alternative""","false","0","5","false","0.008630528470913217","""showerhead""","0.2946727752772713","0.4186523934968884","0.24796644796676406","""off""","29.58","5","29.58"
"1","50","""schwarz_alternative""","false","0","5","false","0.008630528470913217","""showerhead""","0.2946727752772713","0.3387885334739073","0.24796644796676406","""off""","29.58","5","29.58"
"1","55","""schwarz_alternative""","false","0","5","false","0.008630528470913217","""showerhead""","0.2946727752772713","0.3387885334739073","0.1900331958256941","""off""","29.58","5","29.58"
