"search-number","evaluation","technology-diffusion-method*","word-of-mouth?*","technology-adoption*","technology-awareness*","debug?*","deliberation_rate*","innovation*","leader_w_social*","main_w_social*","hed_w_social*","fitness","num-replicates","best-fitness-so-far"
"1","5","""schwarz-alternative""","true","0","5","false","0.039405698665127456","""showerhead""","0.7862145922133333","0.7278296973560079","0.7056228834673477","29.58","5","29.58"
"1","10","""schwarz-alternative""","true","0","5","false","0.039405698665127456","""showerhead""","0.7862145922133333","0.651363764496938","0.7056228834673477","29.58","5","29.58"
"1","15","""schwarz-alternative""","false","0","5","false","0.039405698665127456","""showerhead""","0.7862145922133333","0.651363764496938","0.7056228834673477","29.58","5","29.58"
"1","20","""schwarz-alternative""","false","0","5","false","0.035740415741157196","""showerhead""","0.7862145922133333","0.651363764496938","0.7056228834673477","29.58","5","29.58"
"1","25","""schwarz-alternative""","true","0","5","false","0.035740415741157196","""showerhead""","0.7862145922133333","0.651363764496938","0.7618302987681597","29.58","5","29.58"
"1","30","""schwarz-alternative""","true","0","5","false","0.035740415741157196","""showerhead""","0.9138408013799904","0.651363764496938","0.7618302987681597","29.58","5","29.58"
"1","35","""schwarz-alternative""","false","0","5","false","0.035740415741157196","""showerhead""","0.9138408013799904","0.651363764496938","0.7618302987681597","29.58","5","29.58"
"1","40","""schwarz-alternative""","false","0","5","false","0.035740415741157196","""showerhead""","0.9138408013799904","0.5724232090307038","0.7618302987681597","29.58","5","29.58"
"1","45","""schwarz-alternative""","false","0","5","false","0.035740415741157196","""showerhead""","0.9138408013799904","0.4854801253947522","0.7618302987681597","29.58","5","29.58"
"1","50","""schwarz-alternative""","false","0","5","false","0.035740415741157196","""showerhead""","0.9138408013799904","0.4854801253947522","0.9030017877090841","29.58","5","29.58"
"1","55","""schwarz-alternative""","false","0","5","false","0.03479386287885756","""showerhead""","0.9138408013799904","0.4854801253947522","0.9030017877090841","29.58","5","29.58"
"1","60","""schwarz-alternative""","false","0","5","false","0.03479386287885756","""showerhead""","0.9138408013799904","0.4854801253947522","0.9312834559155295","29.58","5","29.58"
"1","65","""schwarz-alternative""","true","0","5","false","0.03479386287885756","""showerhead""","0.9138408013799904","0.4854801253947522","0.9312834559155295","29.58","5","29.58"
"1","70","""schwarz-alternative""","true","0","5","false","0.03356811602303383","""showerhead""","0.9138408013799904","0.4854801253947522","0.9312834559155295","29.58","5","29.58"
"1","75","""schwarz-alternative""","true","0","5","false","0.03356811602303383","""showerhead""","0.9138408013799904","0.4854801253947522","0.8725825991910255","29.58","5","29.58"
"1","80","""schwarz-alternative""","true","0","5","false","0.03356811602303383","""showerhead""","0.9138408013799904","0.4591220173587994","0.8725825991910255","29.58","5","29.58"
"1","85","""schwarz-alternative""","true","0","5","false","0.03356811602303383","""showerhead""","0.8221430765268434","0.4591220173587994","0.932604904171352","29.58","5","29.58"
"1","90","""schwarz-alternative""","true","0","5","false","0.03356811602303383","""showerhead""","0.8281476942871648","0.4591220173587994","0.932604904171352","29.58","5","29.58"
"1","95","""schwarz-alternative""","true","0","5","false","0.03356811602303383","""showerhead""","0.8326416553530246","0.4591220173587994","0.932604904171352","29.58","5","29.58"
"1","100","""schwarz-alternative""","true","0","5","false","0.03356811602303383","""showerhead""","0.8326416553530246","0.4591220173587994","0.7804696494851642","29.58","5","29.58"
"1","105","""schwarz-alternative""","true","0","5","false","0.03356811602303383","""showerhead""","0.8436751724754428","0.4591220173587994","0.7804696494851642","29.58","5","29.58"
"1","110","""schwarz-alternative""","true","0","5","false","0.03356811602303383","""showerhead""","0.640101265394915","0.4591220173587994","0.7804696494851642","29.58","5","29.58"
"1","115","""schwarz-alternative""","true","0","5","false","0.03356811602303383","""showerhead""","0.6297424263552972","0.4591220173587994","0.7804696494851642","29.58","5","29.58"
"1","120","""schwarz-alternative""","false","0","5","false","0.03356811602303383","""showerhead""","0.6297424263552972","0.4591220173587994","0.7921058539181883","29.58","5","29.58"
"1","125","""schwarz-alternative""","false","0","5","false","0.03356811602303383","""showerhead""","0.6297424263552972","0.4591220173587994","0.8168306584509037","29.58","5","29.58"
"1","130","""schwarz-alternative""","false","0","5","false","0.03356811602303383","""showerhead""","0.6297424263552972","0.4591220173587994","0.8079853142123338","29.58","5","29.58"
"1","135","""schwarz-alternative""","false","0","5","false","0.03356811602303383","""showerhead""","0.760558910132801","0.4591220173587994","0.8079853142123338","29.58","5","29.58"
"1","140","""schwarz-alternative""","false","0","5","false","0.033246518658931135","""showerhead""","0.760558910132801","0.4591220173587994","0.8079853142123338","29.58","5","29.58"
"1","145","""schwarz-alternative""","false","0","5","false","0.029697713557492945","""showerhead""","0.760558910132801","0.4591220173587994","0.8079853142123338","29.58","5","29.58"
"1","150","""schwarz-alternative""","false","0","5","false","0.029697713557492945","""showerhead""","0.760558910132801","0.4119181420330107","0.8079853142123338","29.58","5","29.58"
"1","155","""schwarz-alternative""","false","0","5","false","0.029697713557492945","""showerhead""","0.8190672514279973","0.4119181420330107","0.8079853142123338","29.58","5","29.58"
"1","160","""schwarz-alternative""","true","0","5","false","0.029697713557492945","""showerhead""","0.8190672514279973","0.4119181420330107","0.8079853142123338","29.58","5","29.58"
"1","165","""schwarz-alternative""","true","0","5","false","0.03149687256480016","""showerhead""","0.8190672514279973","0.4119181420330107","0.8079853142123338","29.58","5","29.58"
"1","170","""schwarz-alternative""","false","0","5","false","0.03149687256480016","""showerhead""","0.8190672514279973","0.4119181420330107","0.8079853142123338","29.58","5","29.58"
"1","175","""schwarz-alternative""","false","0","5","false","0.03149687256480016","""showerhead""","0.8190672514279973","0.4119181420330107","0.827027210773476","29.58","5","29.58"
"1","180","""schwarz-alternative""","true","0","5","false","0.03149687256480016","""showerhead""","0.8190672514279973","0.4119181420330107","0.827027210773476","29.58","5","29.58"
"1","185","""schwarz-alternative""","false","0","5","false","0.03149687256480016","""showerhead""","0.744548944339233","0.4119181420330107","0.827027210773476","29.58","5","29.58"
"1","190","""schwarz-alternative""","true","0","5","false","0.03149687256480016","""showerhead""","0.744548944339233","0.5748758777582261","0.827027210773476","29.58","5","29.58"
