"search-number","evaluation","number-of-nodes*","network-method*","technology-diffusion-method*","word-of-mouth?*","seeding-percentage*","debug?*","deliberation_rate*","innovation*","p_leader_social*","p_mainstream_social*","p_hedonistic_social*","num-replicates","best-fitness-so-far"
"1","5","1000","""suslab""","""schwarz""","true","1","false","0.004531285207003792","""showerhead""","0.7043579324977686","0.7178055463149521","0.8079863179625693","5","1028.322"
"1","10","1000","""suslab""","""schwarz""","true","1","false","0.004531285207003792","""showerhead""","0.7043579324977686","0.7178055463149521","0.7031604711916946","5","1027.952"
"1","20","1000","""suslab""","""schwarz""","true","1","false","0.004531285207003792","""showerhead""","0.7043579324977686","0.5563239315579005","0.7031604711916946","5","1027.938"
"1","40","1000","""suslab""","""schwarz""","true","1","false","0.005256412992311145","""showerhead""","0.7043579324977686","0.5563239315579005","0.6776030388020344","5","1027.187"
"1","85","1000","""suslab""","""schwarz""","true","1","false","0.007025885376881081","""showerhead""","0.5981863928169038","0.5716260774872689","0.6776030388020344","5","1026.414"
"1","100","1000","""suslab""","""schwarz""","true","1","false","0.008557132458152391","""showerhead""","0.5693183316025237","0.5014338978024369","0.6776030388020344","5","1026.388"
"1","105","1000","""suslab""","""schwarz""","true","1","false","0.008557132458152391","""showerhead""","0.5693183316025237","0.5014338978024369","0.8887525125042194","5","1025.566"
"1","125","1000","""suslab""","""schwarz""","true","1","false","0.007425053155003513","""showerhead""","0.5693183316025237","0.19908026728529918","0.8887525125042194","5","23.311000000000003"
"1","140","1000","""suslab""","""schwarz""","true","1","false","0.01029879932655713","""showerhead""","0.5693183316025237","0.19908026728529918","0.8887525125042194","5","20.561"
"1","225","1000","""suslab""","""schwarz""","true","1","false","0.01029879932655713","""showerhead""","0.5398295209849719","0.19908026728529918","0.8887525125042194","5","17.362000000000002"
"1","270","1000","""suslab""","""schwarz""","true","1","false","0.012674065174176172","""showerhead""","0.5398295209849719","0.19908026728529918","0.8887525125042194","5","14.189"
"2","5","1000","""suslab""","""schwarz""","true","1","false","0.03200405811963735","""showerhead""","0.30613899743204265","0.6207896937129845","0.9373966464051473","5","47.940999999999995"
"2","10","1000","""suslab""","""schwarz""","true","1","false","0.034418526277105344","""showerhead""","0.30613899743204265","0.6207896937129845","0.9373966464051473","5","35.358000000000004"
"2","40","1000","""suslab""","""schwarz""","true","1","false","0.034418526277105344","""showerhead""","0.30613899743204265","0.5849490722110529","0.9373966464051473","5","25.491"
"2","75","1000","""suslab""","""schwarz""","true","1","false","0.034418526277105344","""showerhead""","0.4458856622128061","0.5849490722110529","0.9373966464051473","5","21.649"
"2","110","1000","""suslab""","""schwarz""","true","1","false","0.034418526277105344","""showerhead""","0.4458856622128061","0.6177248145153389","1","5","15.855"
"2","120","1000","""suslab""","""schwarz""","true","1","false","0.034418526277105344","""showerhead""","0.4458856622128061","0.6242964205706869","1","5","8.624"
"2","240","1000","""suslab""","""schwarz""","true","1","false","0.034418526277105344","""showerhead""","0.38715971226209983","0.7356086144016724","1","5","8.086000000000002"
"2","260","1000","""suslab""","""schwarz""","true","1","false","0.034418526277105344","""showerhead""","0.38715971226209983","0.7798920567930381","1","5","5.513"
"3","5","1000","""suslab""","""schwarz""","true","1","false","0.03920191561724551","""showerhead""","0.6043082361828517","0.4949876578319974","0.9954711693598141","5","49.573"
"3","10","1000","""suslab""","""schwarz""","true","1","false","0.03405650848095611","""showerhead""","0.6043082361828517","0.4949876578319974","0.9954711693598141","5","27.096000000000004"
"3","20","1000","""suslab""","""schwarz""","true","1","false","0.03405650848095611","""showerhead""","0.6043082361828517","0.4949876578319974","1","5","20.054999999999996"
